Formation,Fe
Carbonate,20.5
Carbonate,28.1
Carbonate,27.8
Carbonate,27
Carbonate,28
Carbonate,25.2
Carbonate,25.3
Carbonate,27.1
Carbonate,20.5
Carbonate,31.3
Silicate,26.3
Silicate,24
Silicate,26.2
Silicate,20.2
Silicate,23.7
Silicate,34
Silicate,17.1
Silicate,26.8
Silicate,23.7
Silicate,24.9
Magnetite,29.5
Magnetite,34
Magnetite,27.5
Magnetite,29.4
Magnetite,27.9
Magnetite,26.2
Magnetite,29.9
Magnetite,29.5
Magnetite,30
Magnetite,35.6
Hematite,36.5
Hematite,44.2
Hematite,34.1
Hematite,30.3
Hematite,31.4
Hematite,33.1
Hematite,34.1
Hematite,32.9
Hematite,36.3
Hematite,25.5
